W00201000386,IDP000038627,25 May 2015,(PA) Dihapuskan - Piutang Lunas,50.2318,24-Jun-10,5-Feb-10,12-Jun-09,"2008-181216 11 Jul 2008 JP
",B22D 18/04,"1) NICHIAS CORPORATION
2) TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201807462,,24 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02973,3-May-19,,-,"2017-201589 18 Oct 2017 JP
",B60K 15/067,"DAIHATSU MOTOR CO., LTD."
P00201807468,IDP000070782,18 Aug 2020,(PA) Diberi Paten,2019/02974,3-May-19,24-Sep-18,24-Sep-18,"2017-201700 18 Oct 2017 JP
",B62D 25/20,"DAIHATSU MOTOR CO., LTD."
P00201802072,,22 Mar 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11242,19-Oct-18,,-,"2017-073311 31 Mar 2017 JP
",B60K 20/02,"DAIHATSU MOTOR CO., LTD."
P00201802121,,22 Mar 2018,(PA) Pemeriksa Substantif,2019/07045,27-Sep-19,,-,"- - -
",B60Q 1/02,"DAIHATSU MOTOR CO., LTD"
P00201807634,,26 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02387,5-Apr-19,,-,"2017-192020 29 Sep 2017 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
PID201904920,,27 Nov 2017,(PA) Pelayanan Teknis,2019/05005,12-Jul-19,,-,"2017-135369 11 Jul 2017 JP
","B60J 5/00,B60J 5/10","DAIHATSU MOTOR CO., LTD."
P00201902359,,20 Mar 2019,(PA) Masa Pengumuman,2020/01398,2-Nov-20,,-,"- - -
","B60R 16/02,H02G 3/04","DAIHATSU MOTOR CO., LTD."
P00201902360,,20 Mar 2019,(PA) Pelayanan Teknis,2019/07233,4-Oct-19,,-,"2018-065546 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902363,,20 Mar 2019,(PA) Masa Pengumuman,2020/01399,2-Nov-20,,-,"- - -
",-,"DAIHATSU MOTOR CO., LTD."
P00201902381,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07218,4-Oct-19,,-,"2018-059557 27 Mar 2018 JP
",B62D 7/18,"DAIHATSU MOTOR CO., LTD."
P00201304914,IDP000055710,09 Jan 2019,(PA) Diberi Paten,2015/02814,3-Jul-15,27-Dec-13,27-Dec-13,"- - -
",B60R 19/24,"DAIHATSU MOTOR CO., LTD."
P00201300212,IDP000051297,28 May 2018,(PA) Diberi Paten,2014/01903,19-Jun-14,22-Mar-13,22-Mar-13,"JP2012-067920 23 Mar 2012 JP
",B60N 2/30,"DAIHATSU MOTOR CO., LTD."
P00201701953,,27 Mar 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13727,29-Dec-17,,-,"2016-074916 04 Apr 2016 JP
",B60B 29/00,"DAIHATSU MOTOR CO., LTD."
P00201405388,IDP000058903,17 May 2019,(PA) Diberi Paten,2015/04264,25-Sep-15,10-Sep-14,10-Sep-14,"2013-198735 25 Sep 2013 JP
","F01P 3/02,F02F 1/38","DAIHATSU MOTOR CO., LTD."
P00201304915,IDP000052944,23 Aug 2018,(PA) Diberi Paten,2015/00598,27-Feb-15,27-Dec-13,27-Dec-13,"2012-284825 27 Dec 2012 JP
","F01P 3/02,F02F 1/10,F02F 1/36","DAIHATSU MOTOR CO., LTD."
P00201407429,IDP000051228,25 May 2018,(PA) Diberi Paten,2016/03606,27-May-16,27-Nov-14,27-Nov-14,"2013-248280 29 Nov 2013 JP
",B60K 17/06,"DAIHATSU MOTOR CO., LTD."
P00201601800,IDP000066285,13 Jan 2020,(PA) Diberi Paten,2017/05505,26-May-17,17-Mar-16,17-Mar-16,"2015-076571 03 Apr 2015 JP
",B62D 25/06,"DAIHATSU MOTOR CO., LTD"
P00201200413,IDP000044525,24 Feb 2017,(PA) Diberi Paten,2013/04354,28-Nov-13,25-May-12,25-May-12,"- - -
","F01N 11/00,F01N 9/00","DAIHATSU MOTOR CO., LTD."
P00201503705,IDP000064010,24 Oct 2019,(PA) Diberi Paten,2016/04762,12-Aug-16,18-Jun-15,12-Dec-13,"2012-274992 17 Dec 2012 JP
",B60T 7/12,"DAIHATSU MOTOR CO., LTD."
P00201701650,,15 Mar 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07380,11-Oct-19,,-,"2016-069553 30 Mar 2016 JP
","B62D 1/18,B62D 1/19","DAIHATSU MOTOR CO., LTD."
P00201602863,IDP000068821,18 May 2020,(PA) Diberi Paten,2017/05702,2-Jun-17,28-Apr-16,9-Sep-14,"2013-205066 30 Sep 2013 JP
","F16H 61/02,F16H 61/662,F16H 61/688","DAIHATSU MOTOR CO., LTD."
P00201507484,IDP000053632,24 Sep 2018,(PA) Diberi Paten,2017/04246,28-Apr-17,19-Nov-15,19-Nov-15,"2014-235533 20 Nov 2014 JP
","B62D 65/18,B65G 21/22,B65G 47/22,B65G 47/60","DAIHATSU MOTOR CO., LTD."
P00201300139,IDP000043107,21 Oct 2016,(PA) Diberi Paten,2013/03399,26-Sep-13,27-Feb-13,27-Feb-13,"JP2012-044691 29 Feb 2012 JP
","F01M 13/00,F01M 13/04","DAIHATSU MOTOR CO., LTD."
P00201201278,IDP000043452,10 Nov 2016,(PA) Dihapuskan,2013/02755,25-Jul-13,28-Dec-12,28-Dec-12,"JP2012-018568 31 Jan 2012 JP
","B21D 22/00,B41K 3/00","DAIHATSU MOTOR CO ., LTD."
P00201701684,,16 Mar 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13662,15-Dec-17,,-,"2016-072265 31 Mar 2016 JP
",B62D 25/20,"DAIHATSU MOTOR CO., LTD."
P00201200419,IDP000043970,13 Jan 2017,(PA) Diberi Paten,2013/01258,25-Apr-13,25-May-12,25-May-12,"2011-235789 27 Oct 2011 JP
","F16H 57/02,F16H 57/04","DAIHATSU MOTOR CO., LTD."
P00201701950,,27 Mar 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/01130,2-Feb-18,,-,"2016-150351 29 Jul 2016 JP
",F16H 57/02,"DAIHATSU MOTOR CO., LTD."
P00201405387,IDP000054982,03 Dec 2018,(PA) Diberi Paten,2016/01733,18-Mar-16,10-Sep-14,10-Sep-14,"2013-203131 30 Sep 2013 JP
","F01M 1/08,F01P 3/08","DAIHATSU MOTOR CO., LTD."
P00201200416,IDP000051840,10 Jul 2018,(PA) Diberi Paten,2013/00680,28-Mar-13,25-May-12,25-May-12,"2011-210559 27 Sep 2011 JP
","F02D 13/02,F02D 19/08,F02D 41/04","DAIHATSU MOTOR CO., LTD."
P00201304832,IDP000052942,23 Aug 2018,(PA) Diberi Paten,2015/00649,27-Feb-15,13-Dec-13,13-Dec-13,"2012-273216 14 Dec 2012 JP
","F01M 1/02,F01M 11/03,F02B 67/06,F02F 7/00","DAIHATSU MOTOR CO., LTD."
P00201401070,IDP000045968,18 May 2017,(PA) Dihapuskan,2015/00874,13-Mar-15,26-Feb-14,26-Feb-14,"2013-037040 27 Feb 2013 JP
","B62D 25/04,B62D 25/08","DAIHATSU MOTOR, CO., LTD."
P00201201282,IDP000046020,24 May 2017,(PA) Diberi Paten,2013/02036,27-Jun-13,28-Dec-12,28-Dec-12,"JP2011-288536 28 Dec 2011 JP
","F02D 41/22,F02D 41/34","DAIHATSU MOTOR CO., LTD."
P00201603813,IDP000071540,18 Sep 2020,(PA) Diberi Paten,2017/06141,9-Jun-17,7-Jun-16,7-Jun-16,"2015-116437 09 Jun 2015 JP
",F02M 25/07,"DAIHATSU MOTOR CO., LTD."
P00201802124,,22 Mar 2018,(PA) Pemeriksa Substantif,2019/07115,27-Sep-19,,-,"- - -
","F01P 3/02,F02B 77/00,F02F 1/10","DAIHATSU MOTOR CO., LTD."
P00201807625,,26 Sep 2018,(PA) Masa Pengumuman,2020/00808,18-Jun-20,,-,"- - -
","B62D 3/12,H02J 7/02","DAIHATSU MOTOR CO., LTD."
P00201200418,IDP000071633,22 Sep 2020,(PA) Diberi Paten,2013/04172,14-Nov-13,25-May-12,25-May-12,"- - -
","F02F 1/00,F02F 1/20","DAIHATSU MOTOR CO., LTD."
P00201405543,IDP000060449,09 Jul 2019,(PA) Diberi Paten,2016/00749,26-Feb-16,17-Sep-14,17-Sep-14,"2013-203720 30 Sep 2013 JP
","B60G 7/02,B60G 9/04,F16F 1/38","DAIHATSU MOTOR CO., LTD."
P00201802187,,26 Mar 2018,(PA) Pemeriksa Substantif,2019/07164,4-Oct-19,,-,"- - -
",F16H 57/04,"DAIHATSU MOTOR CO., LTD."
PID201901708,,27 Feb 2019,(PA) Pemeriksa Substantif,2019/06627,6-Sep-19,,-,"2018-034164 28 Feb 2018 JP
","F02D 41/00,F02D 41/18,F02P 5/10,F02D 41/22","DAIHATSU MOTOR CO., LTD."
P00201606443,IDP000063187,07 Oct 2019,(PA) Diberi Paten,2018/01674,16-Feb-18,26-Sep-16,26-Sep-16,"2015-212691 29 Oct 2015 JP
",B62D 35/00,"DAIHATSU MOTOR CO., LTD."
P00201807377,,20 Sep 2018,(PA) Masa Pengumuman,2020/00731,18-Jun-20,,-,"- - -
",B60J 5/10,"DAIHATSU MOTOR CO., LTD."
P00201807465,,24 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02340,5-Apr-19,,-,"2017-187863 28 Sep 2017 JP
",B62D 25/20,"DAIHATSU MOTOR CO.,LTD."
PID201902161,,13 Mar 2019,(PA) Masa Pengumuman,2020/01386,2-Nov-20,,-,"- - -
","B60R 16/02,H02G 3/00","DAIHATSU MOTOR CO., LTD."
PID201902165,,13 Mar 2019,(PA) Pemeriksa Substantif,2019/07820,1-Nov-19,,-,"2018-085702 26 Apr 2018 JP
",B60K 15/04,"DAIHATSU MOTOR CO., LTD."
PID201902158,,13 Mar 2019,(PA) Pemeriksa Substantif,2019/07226,4-Oct-19,,-,"2018-062424 28 Mar 2018 JP
",F01N 13/08,"DAIHATSU MOTOR CO., LTD."
PID201806910,,15 Feb 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11764,2-Nov-18,,-,"2016-037828 29 Feb 2016 JP
","F16H 37/02,F16D 65/00,F16H 57/04","DAIHATSU MOTOR CO., LTD."
P00201706546,,26 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04916,11-May-18,,-,"2016-190652 29 Sep 2016 JP
","B60H 1/20,B60R 21/213","DAIHATSU MOTOR CO., LTD."
P00201706487,,25 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02136,29-Mar-19,,-,"- - -
",F16F 1/36,"DAIHATSU MOTOR CO., LTD."
P00201706541,,26 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04915,11-May-18,,-,"2016-192169 29 Sep 2016 JP
","B60J 5/06,B62D 25/04","DAIHATSU MOTOR CO., LTD."
P00201706488,,25 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04911,11-May-18,,-,"2016-191131 29 Sep 2016 JP
",B60R 19/18,"DAIHATSU MOTOR CO. , LTD."
P00201807620,IDP000072900,18 Nov 2020,(PA) Pembuatan Sertifikat,2019/02385,5-Apr-19,26-Sep-18,26-Sep-18,"2017-189382 29 Sep 2017 JP
","B60Q 1/04,B60Q 1/12,B60Q 1/18","DAIHATSU MOTOR CO., LTD."
P00201807636,,26 Sep 2018,(PA) Masa Pengumuman,2020/00809,18-Jun-20,,-,"- - -
",F02B 39/00,"DAIHATSU MOTOR CO., LTD."
PID201902160,,13 Mar 2019,(PA) Masa Pengumuman,2020/01385,2-Nov-20,,-,"- - -
","B65D 21/00,B65D 25/08,B65D 65/12","DAIHATSU MOTOR CO., LTD."
P00201706616,IDP000063972,24 Oct 2019,(PA) Diberi Paten,2018/04972,18-May-18,28-Sep-17,17-Dec-15,"2015-085267 17 Apr 2015 JP
","B32B 27/00,B32B 7/06","DAIHATSU MOTOR CO., LTD."
P00201807623,,26 Sep 2018,(PA) Masa Pengumuman,2020/00807,18-Jun-20,,-,"- - -
",-,"DAIHATSU MOTOR CO., LTD."
P00201807463,IDP000073134,24 Nov 2020,(PA) Pembuatan Sertifikat,2019/02338,5-Apr-19,24-Sep-18,24-Sep-18,"2017-190527 29 Sep 2017 JP
","B60K 11/04,B62D 25/08,F01P 11/10","DAIHATSU MOTOR CO., LTD."
P00201802067,,21 Mar 2018,(PA) Pemeriksa Substantif,2019/07014,27-Sep-19,,-,"- - -
",E02D 29/02,"DAIHATSU MOTOR CO., LTD."
P00201802185,IDP000070074,27 Jul 2020,(PA) Diberi Paten,2018/13240,31-Dec-18,26-Mar-18,26-Mar-18,"20 17-127839 29 Jun 2017 JP
",F16H 63/34,"DAIHATSU MOTOR CO., LTD."
P00201807612,IDP000072641,10 Nov 2020,(PA) Diberi Paten,2019/02383,5-Apr-19,26-Sep-18,26-Sep-18,"2017-191155 29 Sep 2017 JP
","B60G 7/02,F16F 1/38,F16F 1/387","DAIHATSU MOTOR CO., LTD."
P00201802120,,22 Mar 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07042,27-Sep-19,,-,"JP20 17-073310 31 Mar 2018 JP
",F16H 63/34,"DAIHATSU MOTOR CO., LTD."
P00201605705,,26 Aug 2016,(PA) Ditarik Kembali oleh Pemohon,2018/01007,2-Feb-18,,-,"2015-167737 27 Aug 2015 JP
",B60N 3/10,"DAIHATSU MOTOR CO., LTD."
P00201807464,IDP000073135,24 Nov 2020,(PA) Pembuatan Sertifikat,2019/02339,5-Apr-19,24-Sep-18,24-Sep-18,"2017-187501 28 Sep 2017 JP
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201606441,IDP000072722,13 Nov 2020,(PA) Diberi Paten,2018/01369,9-Feb-18,26-Sep-16,26-Sep-16,"2015-213289 29 Oct 2015 JP
",F16H 57/02,"DAIHATSU MOTOR CO., LTD."
P00201802186,IDP000070973,24 Aug 2020,(PA) Diberi Paten,2018/10462,28-Sep-18,26-Mar-18,26-Mar-18,"2016-195029 30 Sep 2016 JP
","F16D 13/60,F16H 57/10,F16H 63/30","DAIHATSU MOTOR CO., LTD."
P00201802119,IDP000071566,18 Sep 2020,(PA) Diberi Paten,2018/10457,28-Sep-18,22-Mar-18,22-Mar-18,"2017-060105 24 Mar 2017 JP
","F01L 1/356,F01M 13/00,F01M 13/04","DAIHATSU MOTOR CO., LTD."
P00201802071,,22 Mar 2018,(PA) Pemeriksa Substantif,2019/07015,27-Sep-19,,-,"- - -
","B60R 21/16,B60R 21/207","DAIHATSU MOTOR CO., LTD."
P00201802167,,23 Mar 2018,(PA) Pelayanan Teknis,2019/07162,4-Oct-19,,-,"- - -
",H02G 3/00,"DAIHATSU MOTOR CO., LTD."
P00201801573,IDP000073187,25 Nov 2020,(PA) Pembuatan Sertifikat,2018/08082,3-Aug-18,2-Mar-18,31-Jul-16,"2015-153584 03 Aug 2015 JP
","F16H 37/02,F16H 57/04,F16H 61/00","DAIHATSU MOTOR CO., LTD."
P00201802116,,22 Mar 2018,(PA) Pemeriksa Substantif,2019/07036,27-Sep-19,,-,"- - -
","F16H 57/00,F16H 9/12","DAIHATSU MOTOR CO., LTD."
P00201802122,,22 Mar 2018,(PA) Pemeriksa Substantif,2019/07046,27-Sep-19,,-,"- - -
",G02B 6/00,"DAIHATSU MOTOR CO.,LTD."
P00201606345,IDP000063186,07 Oct 2019,(PA) Diberi Paten,2018/01671,16-Feb-18,22-Sep-16,22-Sep-16,"2015-214724 30 Oct 2015 JP
",F02B 77/00,"DAIHATSU MOTOR CO., LTD."
P00201807615,,26 Sep 2018,(PA) Masa Pengumuman,2020/00805,18-Jun-20,,-,"- - -
",G07F 17/30,"DAIHATSU MOTOR CO., LTD."
P00201802117,,22 Mar 2018,(PA) Pemeriksa Substantif,2019/07038,27-Sep-19,,-,"- - -
","B07C 5/34,B07C 7/04","DAIHATSU MOTOR CO., LTD."
P00201802118,IDP000071895,02 Oct 2020,(PA) Diberi Paten,2018/11243,19-Oct-18,22-Mar-18,22-Mar-18,"JP2017-073316 31 Mar 2017 JP
",F16H 63/34,"DAIHATSU MOTOR CO., LTD."
P00201401797,IDP000051745,09 Jul 2018,(PA) Diberi Paten,2015/04947,6-Nov-15,27-Mar-14,27-Mar-14,"2013-068213 28 Mar 2013 JP
","B21D 19/02,B21D 19/08,B21D 37/12,B30B 7/04","DAIHATSU MOTOR CO., LTD."
P00201604186,IDP000070157,29 Jul 2020,(PA) Diberi Paten,2017/06507,16-Jun-17,22-Jun-16,22-Jun-16,"2015-131543 30 Jun 2015 JP
",F02M 35/104,"DAIHATSU MOTOR CO., LTD."
P00201807467,,24 Sep 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/06040,16-Aug-19,,-,"2017-209951 31 Oct 2017 JP
","B60N 2/06,B60N 2/28,B60N 2/42","DAIHATSU MOTOR CO., LTD."
P00201508531,IDP000063044,01 Oct 2019,(PA) Diberi Paten,2017/07526,14-Jul-17,16-Dec-15,16-Dec-15,"- - -
","B01D 53/88,B01J 23/00","DAIHATSU MOTOR CO., LTD."
P00201604183,,22 Jun 2016,(PA) Ketua Kelompok Pemeriksa Substantif,2017/13970,29-Dec-17,,-,"- - -
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201706486,,25 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04910,11-May-18,,-,"JP 2016-191835 29 Sep 2016 JP
",F16F 15/08,"DAIHATSU MOTOR CO., LTD."
PID201902155,,13 Mar 2019,(PA) Pemeriksa Substantif,2019/07224,4-Oct-19,,-,"2018-062252 28 Mar 2018 JP
",F01M 11/03,"DAIHATSU MOTOR CO., LTD."
P00201706568,IDP000062694,20 Sep 2019,(PA) Diberi Paten,2018/04843,11-May-18,27-Sep-17,9-Dec-15,"2015-078917 08 Apr 2015 JP
","B29C 51/12,B29C 51/14,B32B 27/00","DAIHATSU MOTOR CO., LTD."
PID201902162,,13 Mar 2019,(PA) Masa Pengumuman,2020/01387,2-Nov-20,,-,"- - -
","F01P 3/02,F02F 1/36","DAIHATSU MOTOR CO., LTD."
P00201706547,IDP000069753,14 Jul 2020,(PA) Diberi Paten,2018/04917,11-May-18,26-Sep-17,26-Sep-17,"2016-192758 30 Sep 2016 JP
",B62D 25/10,"DAIHATSU MOTOR CO., LTD."
PID201902159,,13 Mar 2019,(PA) Masa Pengumuman,2020/01384,2-Nov-20,,-,"- - -
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201706542,IDP000072568,03 Nov 2020,(PA) Diberi Paten,2019/02960,3-May-19,26-Sep-17,26-Sep-17,"- - -
",B60H 1/32,"DAIHATSU MOTOR CO., LTD."
P00201706489,,25 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02137,29-Mar-19,,-,"- - -
",F02M 35/10,"DAIHATSU MOTOR CO., LTD"
PID201902157,,13 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07225,4-Oct-19,,-,"2018-065436 29 Mar 2018 JP
",F01M 9/10,"DAIHATSU MOTOR CO., LTD."
PID201806531,,27 Jan 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11360,19-Oct-18,,-,"2016-015619 29 Jan 2016 JP
","F16H 9/12,F16H 57/00","DAIHATSU MOTOR CO., LTD."
P00201706484,,25 Sep 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/04909,11-May-18,,-,"JP2016-193003 30 Sep 2016 JP
","B60G 21/055,B60G 7/00","DAIHATSU MOTOR CO., LTD."
P00201902357,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07229,4-Oct-19,,-,"2018-066105 29 Mar 2018 JP
",B60K 15/067,"DAIHATSU MOTOR CO., LTD."
P00201902378,,20 Mar 2019,(PA) Masa Pengumuman,2020/01400,2-Nov-20,,-,"- - -
",B62D 25/20,"DAIHATSU MOTOR CO., LTD."
P00201902356,,20 Mar 2019,(PA) Pelayanan Teknis,2019/07228,4-Oct-19,,-,"2018-061662 28 Mar 2018 JP
",B62D 7/18,"DAIHATSU MOTOR CO., LTD."
P00201902265,,15 Mar 2019,(PA) Ketua Kelompok Pemeriksa Substantif,2019/06981,20-Sep-19,,-,"2018-048894 16 Mar 2018 JP
","B60K 11/04,B60K 11/08,B62D 25/08,F01P 3/18","DAIHATSU MOTOR CO.,LTD."
P00201902364,,20 Mar 2019,(PA) Pelayanan Teknis,2019/07234,4-Oct-19,,-,"2018-065549 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902372,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07214,4-Oct-19,,-,"2018-065552 29 Mar 2018 JP
",B60S 1/50,"DAIHATSU MOTOR CO., LTD."
P00201902384,,20 Mar 2019,(PA) Pelayanan Teknis,2019/07220,4-Oct-19,,-,"2018-062847 28 Mar 2018 JP
",B60H 1/00,"DAIHATSU MOTOR CO., LTD."
P00201902370,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07213,4-Oct-19,,-,"2018-060951 27 Mar 2018 JP
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201902373,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07241,4-Oct-19,,-,"2018-065547 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902369,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07212,4-Oct-19,,-,"2018-065548 29 Mar 2018 JP
",B60G 9/04,"DAIHATSU MOTOR CO., LTD."
P00201902379,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07110,27-Sep-19,,-,"2018-057284 23 Mar 2018 JP
",-,"DAIHATSU MOTOR CO., LTD."
P00201902376,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07216,4-Oct-19,,-,"2018-059014 26 Mar 2018 JP
",B62D 25/20,"DAIHATSU MOTOR CO., LTD."
P00201902380,,20 Mar 2019,(PA) Pemeriksa Substantif,2019/07217,4-Oct-19,,-,"2018-063667 29 Mar 2018 JP
",B62D 25/00,"DAIHATSU MOTOR CO., LTD."
P00201902383,,20 Mar 2019,(PA) Pelayanan Teknis,2019/07312,4-Oct-19,,-,"2018-059913 27 Mar 2018 JP
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
P00201902377,,20 Mar 2019,(PA) Pemeriksa Substantif,2019/07109,27-Sep-19,,-,"2018-055969 23 Mar 2018 JP
",B62D 25/02,"DAIHATSU MOTOR CO., LTD."
P00201902382,,20 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07219,4-Oct-19,,-,"2018-063739 29 Mar 2018 JP
",B62D 25/08,"DAIHATSU MOTOR CO., LTD."
PID201901710,,27 Feb 2019,(PA) Ketua Kelompok Pemeriksa Substantif,2019/06628,6-Sep-19,,-,"2018-032699 27 Feb 2018 JP
",F16N 5/02,"DAIHATSU MOTOR CO., LTD."
W00201001109,IDP000031291,05 Jul 2012,(PA) Pembatalan,50.25,15-Jul-10,7-Apr-10,14-Apr-08,"2007-283967 31 Oct 2007 JP
",B23K 11/11,"DAIHATSU MOTOR CO., LTD."
W00201100271,IDP000047332,16 Aug 2017,(PA) Diberi Paten,2012/00445,26-Jan-12,21-Jan-11,12-Jun-09,"2008-162995 23 Jun 2008 JP
","F01L 1/04,F02D 35/00","DAIHATSU MOTOR CO., LTD."
W00201001108,IDP000032651,21 Dec 2012,(PA) Diberi Paten,50.1975,3-Jun-10,7-Apr-10,14-Apr-08,"2007-283946 31 Oct 2007 JP
","B65B 13/12,B65G 35/06","DAIHATSU MOTOR CO., LTD."
PID201902156,,13 Mar 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/07392,11-Oct-19,,-,"2018-068196 30 Mar 2018 JP
",F01L 1/18,"DAIHATSU MOTOR CO., LTD.
OTICS CORPORATION"
P00201400516,IDP000057286,20 Mar 2019,(PA) Diberi Paten,2015/05054,13-Nov-15,29-Jan-14,29-Jan-14,"JP-2013-014758 29 Jan 2013 JP
","B60R 13/02,B60R 13/06","3.	DAIHATSU MOTOR CO., LTD
1.	P.T. KARYA PUTRA SANGKURIANG
2.	P.T. ASTRA DAIHATSU MOTOR"
P00201100640,IDP000043693,06 Dec 2016,(PA) Diberi Paten,2013/01136,25-Apr-13,26-Oct-11,26-Oct-11,"2011-220447 04 Oct 2011 JP
","B60R 13/00,B60R 13/02","2) PT. ASTRA DAIHATSU MOTOR
4) PT MULTI SPUNINDO JAYA
3) PT. POLINDO URETAN SERVICES
1) DAIHATSU MOTOR CO., LTD."
P00201100639,IDP000044063,16 Jan 2017,(PA) Diberi Paten,2013/01251,25-Apr-13,26-Oct-11,26-Oct-11,"2011-220448 04 Oct 2011 JP
","B32B 1/00,B32B 43/00,B60R 13/02","4) PT. MULTI SPUNINDO JAYA
3) PT. POLINDO URETAN SERVICES
1) DAIHATSU MOTOR CO., LTD.
2) PT. ASTRA DAIHATSU MOTOR"
P00201300314,IDP000052155,01 Aug 2018,(PA) Diberi Paten,2014/01588,5-Jun-14,24-Apr-13,24-Apr-13,"2012-098937 24 Apr 2012 JP
",B60J 5/06,"1. DAIHATSU MOTOR CO., LTD.
2. AISIN SEIKI KABUSHIKI KAISHA"
P00201300479,IDP000045108,13 Mar 2017,(PA) Diberi Paten,2014/00886,3-Apr-14,26-Jun-13,26-Jun-13,"2012-145902 28 Jun 2012 JP
","B60K 35/00,B60R 16/02","1. DENSO CORPORATION
2. DAIHATSU MOTOR CO., LTD."
P00201601803,,17 Mar 2016,(PA) Persetujuan Direktur untuk Ditarik Kembali,2017/05447,26-May-17,,-,"2015-069626 30 Mar 2015 JP
","F02B 23/00,F02F 3/00","DAIHATSU MOTOR CO., LTD.
ART METAL MFG CO.,LTD."
P00201701352,,28 Feb 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13478,15-Dec-17,,-,"2016-060790 24 Mar 2016 JP
",F02M 35/10,"TOYOTA BOSHOKU KABUSHIKI KAISHA
DAIHATSU MOTOR CO., LTD."
P00201200415,IDP000049604,14 Feb 2018,(PA) Diberi Paten,2013/04420,28-Nov-13,25-May-12,25-May-12,"- - -
",B60G 21/02,"1) DAIHATSU MOTOR CO., LTD. 
2) NAMICOH CO., LTD."
W00201203702,IDP000038315,17 Apr 2015,(PA) Diberi Paten,2013/00032,31-Jan-13,13-Sep-12,16-Mar-11,"2010-060767 17 Mar 2010 JP
","B29C 49/02,B29L 22/00,B60K 15/03","1) DAIHATSU MOTOR CO., LTD.
2) SAKAMOTO INDUSTRY CO., LTD."
P00201300765,IDP000052235,02 Aug 2018,(PA) Dihapuskan,2014/02794,28-Aug-14,27-Sep-13,27-Sep-13,"2012-235648 25 Oct 2012 JP
",F16B 19/10,"1). DAIWA KASEI INDUSTRY CO., LTD. 2). DAIHATSU MOTOR CO., LTD."
